,date,title,description,stock_group,combine,full_labels
241,30/01/2023,inside the fight to save the peruvian amazon from big oil the survival of the world's biggest rainforest is critical to the survival of life on earth. the fossil fuel industry is hell-bent on drilling in it the survival of the world's biggest rainforest is critical to the survival of life on earth. the fossil fuel industry is hell-bent on drilling in it,the survival of the world's biggest rainforest is critical to the survival of life on earth. the fossil fuel industry is hell-bent on drilling in it,BID,inside the fight to save the peruvian amazon from big oil the survival of the world's biggest rainforest is critical to the survival of life on earth. the fossil fuel industry is hell-bent on drilling in it the survival of the world's biggest rainforest is critical to the survival of life on earth. the fossil fuel industry is hell-bent on drilling in it,2
242,30/01/2023,"european democracy support annual review 2022 in a year dominated by the rhetoric of defending democracy, eu democracy support policies were adjusted in important ways to align with the new geopolitical context. however, the union also seemed to treat commitments in this area as second-order priorities c… in a year dominated by the rhetoric of defending democracy, eu democracy support policies were adjusted in important ways to align with the new geopolitical context. however, the union also seemed to treat commitments in this area as second-order priorities c…","in a year dominated by the rhetoric of defending democracy, eu democracy support policies were adjusted in important ways to align with the new geopolitical context. however, the union also seemed to treat commitments in this area as second-order priorities c…",BID,"european democracy support annual review 2022 in a year dominated by the rhetoric of defending democracy, eu democracy support policies were adjusted in important ways to align with the new geopolitical context. however, the union also seemed to treat commitments in this area as second-order priorities c… in a year dominated by the rhetoric of defending democracy, eu democracy support policies were adjusted in important ways to align with the new geopolitical context. however, the union also seemed to treat commitments in this area as second-order priorities c…",2
243,23/01/2023,samsung free tv plus app might be coming to other brands samsung is reportedly gearing up to bring its free tv plus app to other tv manufacturers. samsung is reportedly gearing up to bring its free tv plus app to other tv manufacturers.,samsung is reportedly gearing up to bring its free tv plus app to other tv manufacturers.,BID,samsung free tv plus app might be coming to other brands samsung is reportedly gearing up to bring its free tv plus app to other tv manufacturers. samsung is reportedly gearing up to bring its free tv plus app to other tv manufacturers.,2
244,31/01/2023,"fpt featured on globalive media’s technology series “beyond innovation” on bloomberg television hanoi, vietnam--(business wire)-- #beyondinnovation--vietnam's leading technology group fpt participated in “beyond innovation” season 3, the leading technology series airing on bloomberg television (bloomberg tv). hosted by venture capitalist anthony lacaver… hanoi, vietnam--(business wire)-- #beyondinnovation--vietnam's leading technology group fpt participated in “beyond innovation” season 3, the leading technology series airing on bloomberg television (bloomberg tv). hosted by venture capitalist anthony lacaver…","hanoi, vietnam--(business wire)-- #beyondinnovation--vietnam's leading technology group fpt participated in “beyond innovation” season 3, the leading technology series airing on bloomberg television (bloomberg tv). hosted by venture capitalist anthony lacaver…",FPT,"fpt featured on globalive media’s technology series “beyond innovation” on bloomberg television hanoi, vietnam--(business wire)-- #beyondinnovation--vietnam's leading technology group fpt participated in “beyond innovation” season 3, the leading technology series airing on bloomberg television (bloomberg tv). hosted by venture capitalist anthony lacaver… hanoi, vietnam--(business wire)-- #beyondinnovation--vietnam's leading technology group fpt participated in “beyond innovation” season 3, the leading technology series airing on bloomberg television (bloomberg tv). hosted by venture capitalist anthony lacaver…",2
245,31/01/2023,"vietnam data centre market landscape report 2023: space will grow by 45%, power by 44% and revenues by 58% to the end of 2026 - researchandmarkets.com dublin--(business wire)--the ""vietnam: data centre landscape - 2022 to 2026"" report has been added to researchandmarkets.com's offering. the vietnamese data centre market is growing from a relatively low base, but with new investment from gaw capital, ntt and… dublin--(business wire)--the ""vietnam: data centre landscape - 2022 to 2026"" report has been added to researchandmarkets.com's offering. the vietnamese data centre market is growing from a relatively low base, but with new investment from gaw capital, ntt and…","dublin--(business wire)--the ""vietnam: data centre landscape - 2022 to 2026"" report has been added to researchandmarkets.com's offering. the vietnamese data centre market is growing from a relatively low base, but with new investment from gaw capital, ntt and…",FPT,"vietnam data centre market landscape report 2023: space will grow by 45%, power by 44% and revenues by 58% to the end of 2026 - researchandmarkets.com dublin--(business wire)--the ""vietnam: data centre landscape - 2022 to 2026"" report has been added to researchandmarkets.com's offering. the vietnamese data centre market is growing from a relatively low base, but with new investment from gaw capital, ntt and… dublin--(business wire)--the ""vietnam: data centre landscape - 2022 to 2026"" report has been added to researchandmarkets.com's offering. the vietnamese data centre market is growing from a relatively low base, but with new investment from gaw capital, ntt and…",2
246,31/01/2023,"technology, telecommunications businesses benefit from digital economy technology and telecommunications businesses are expected to continue to benefit from the growth of the digital economy. technology and telecommunications businesses are expected to continue to benefit from the growth of the digital economy.",technology and telecommunications businesses are expected to continue to benefit from the growth of the digital economy.,FPT,"technology, telecommunications businesses benefit from digital economy technology and telecommunications businesses are expected to continue to benefit from the growth of the digital economy. technology and telecommunications businesses are expected to continue to benefit from the growth of the digital economy.",2
247,10/02/2023,intel weighs boost to investment in vietnam chip packaging plant -sources hanoi (reuters) -intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging... hanoi (reuters) -intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging...,hanoi (reuters) -intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging...,FPT,intel weighs boost to investment in vietnam chip packaging plant -sources hanoi (reuters) -intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging... hanoi (reuters) -intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging...,3
248,10/02/2023,exclusive-intel weighs boost to investment in vietnam chip packaging plant -sources hanoi (reuters) -intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging... hanoi (reuters) -intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging...,hanoi (reuters) -intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging...,FPT,exclusive-intel weighs boost to investment in vietnam chip packaging plant -sources hanoi (reuters) -intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging... hanoi (reuters) -intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging...,3
249,10/02/2023,"intel weighs boost to investment in vietnam chip packaging plant the possible move, which one source said could be worth about $1 billion, would signal a growing role for vietnam in the global supply chain for semiconductors, as companies push to cut reliance on china and taiwan because of political risks and trade tension… the possible move, which one source said could be worth about $1 billion, would signal a growing role for vietnam in the global supply chain for semiconductors, as companies push to cut reliance on china and taiwan because of political risks and trade tension…","the possible move, which one source said could be worth about $1 billion, would signal a growing role for vietnam in the global supply chain for semiconductors, as companies push to cut reliance on china and taiwan because of political risks and trade tension…",FPT,"intel weighs boost to investment in vietnam chip packaging plant the possible move, which one source said could be worth about $1 billion, would signal a growing role for vietnam in the global supply chain for semiconductors, as companies push to cut reliance on china and taiwan because of political risks and trade tension… the possible move, which one source said could be worth about $1 billion, would signal a growing role for vietnam in the global supply chain for semiconductors, as companies push to cut reliance on china and taiwan because of political risks and trade tension…",2
250,10/02/2023,"exclusive-intel weighs boost to investment in vietnam chip packaging plant -sources intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters. intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.","intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.",FPT,"exclusive-intel weighs boost to investment in vietnam chip packaging plant -sources intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters. intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.",2
251,10/02/2023,"exclusive-intel weighs boost to investment in vietnam chip packaging plant -sources hanoi :intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.the possible move, which… hanoi :intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.the possible move, which…","hanoi :intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.the possible move, which…",FPT,"exclusive-intel weighs boost to investment in vietnam chip packaging plant -sources hanoi :intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.the possible move, which… hanoi :intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.the possible move, which…",2
252,10/02/2023,"intel weighs boost to investment in vietnam chip packaging plant -sources hanoi : intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.the possible move, whic… hanoi : intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.the possible move, whic…","hanoi : intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.the possible move, whic…",FPT,"intel weighs boost to investment in vietnam chip packaging plant -sources hanoi : intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.the possible move, whic… hanoi : intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.the possible move, whic…",2
253,10/02/2023,"exclusive-intel weighs boost to investment in vietnam chip packaging plant -sources intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters. the possible move, which one s… intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters. the possible move, which one s…","intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters. the possible move, which one s…",FPT,"exclusive-intel weighs boost to investment in vietnam chip packaging plant -sources intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters. the possible move, which one s… intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters. the possible move, which one s…",2
254,10/02/2023,"intel eyes $1 billion vietnam chip plant investment boost intel is looking at bumping up its existing $1.5 billion investment in vietnam to expand its chip testing and packaging plant there, sources have revealed. the possible move, which one source said could be worth about $1 billion, would signal a growing role f… intel is looking at bumping up its existing $1.5 billion investment in vietnam to expand its chip testing and packaging plant there, sources have revealed. the possible move, which one source said could be worth about $1 billion, would signal a growing role f…","intel is looking at bumping up its existing $1.5 billion investment in vietnam to expand its chip testing and packaging plant there, sources have revealed. the possible move, which one source said could be worth about $1 billion, would signal a growing role f…",FPT,"intel eyes $1 billion vietnam chip plant investment boost intel is looking at bumping up its existing $1.5 billion investment in vietnam to expand its chip testing and packaging plant there, sources have revealed. the possible move, which one source said could be worth about $1 billion, would signal a growing role f… intel is looking at bumping up its existing $1.5 billion investment in vietnam to expand its chip testing and packaging plant there, sources have revealed. the possible move, which one source said could be worth about $1 billion, would signal a growing role f…",2
255,10/02/2023,"exclusive: intel weighs boosting investment in vietnam chip packaging plant – sources hanoi (reuters) -   intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters. hanoi (reuters) -   intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.","hanoi (reuters) -   intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.",FPT,"exclusive: intel weighs boosting investment in vietnam chip packaging plant – sources hanoi (reuters) -   intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters. hanoi (reuters) -   intel corp is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, two sources familiar with the matter told reuters.",2
256,10/02/2023,"intel weighs boost to investment in vietnam chip packaging plant the possible move, which one source said could be worth about $1 billion, would signal a growing role for vietnam in the global supply chain for semiconductors, as companies push to cut reliance on china and taiwan because of political risks and trade tension… the possible move, which one source said could be worth about $1 billion, would signal a growing role for vietnam in the global supply chain for semiconductors, as companies push to cut reliance on china and taiwan because of political risks and trade tension…","the possible move, which one source said could be worth about $1 billion, would signal a growing role for vietnam in the global supply chain for semiconductors, as companies push to cut reliance on china and taiwan because of political risks and trade tension…",FPT,"intel weighs boost to investment in vietnam chip packaging plant the possible move, which one source said could be worth about $1 billion, would signal a growing role for vietnam in the global supply chain for semiconductors, as companies push to cut reliance on china and taiwan because of political risks and trade tension… the possible move, which one source said could be worth about $1 billion, would signal a growing role for vietnam in the global supply chain for semiconductors, as companies push to cut reliance on china and taiwan because of political risks and trade tension…",2
257,10/02/2023,"intel weighs boost to investment in vietnam chip packaging plant -sources intel corp <a href=""https://www.reuters.com/companies/intc.o"" target=""_blank"">(intc.o)</a> is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, t… intel corp <a href=""https://www.reuters.com/companies/intc.o"" target=""_blank"">(intc.o)</a> is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, t…","intel corp <a href=""https://www.reuters.com/companies/intc.o"" target=""_blank"">(intc.o)</a> is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, t…",FPT,"intel weighs boost to investment in vietnam chip packaging plant -sources intel corp <a href=""https://www.reuters.com/companies/intc.o"" target=""_blank"">(intc.o)</a> is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, t… intel corp <a href=""https://www.reuters.com/companies/intc.o"" target=""_blank"">(intc.o)</a> is considering a significant increase in its existing $1.5-billion investment in vietnam to expand its chip testing and packaging plant in the southeast asian nation, t…",3
258,01/02/2023,"fpt software europe supports dax company covestro with cloud migration essen, germany--(business wire)-- #cloud--it service provider fpt software europe and materials manufacturer covestro entered into long-term partnership for transformation project. essen, germany--(business wire)-- #cloud--it service provider fpt software europe and materials manufacturer covestro entered into long-term partnership for transformation project.","essen, germany--(business wire)-- #cloud--it service provider fpt software europe and materials manufacturer covestro entered into long-term partnership for transformation project.",FPT,"fpt software europe supports dax company covestro with cloud migration essen, germany--(business wire)-- #cloud--it service provider fpt software europe and materials manufacturer covestro entered into long-term partnership for transformation project. essen, germany--(business wire)-- #cloud--it service provider fpt software europe and materials manufacturer covestro entered into long-term partnership for transformation project.",2
259,27/01/2023,"asia-pacific b2c e-commerce market analysis report 2022-2023: focus on australia, china, india, indonesia, japan, malaysia, south korea, thailand, & vietnam the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering.","the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering.",FPT,"asia-pacific b2c e-commerce market analysis report 2022-2023: focus on australia, china, india, indonesia, japan, malaysia, south korea, thailand, & vietnam the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering.",2
260,27/01/2023,"asia-pacific b2c e-commerce market analysis report 2022-2023: focus on australia, china, india, indonesia, japan, malaysia, south korea, thailand, & vietnam dublin, jan. 27, 2023 /prnewswire/ -- the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainabili… dublin, jan. 27, 2023 /prnewswire/ -- the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainabili…","dublin, jan. 27, 2023 /prnewswire/ -- the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainabili…",FPT,"asia-pacific b2c e-commerce market analysis report 2022-2023: focus on australia, china, india, indonesia, japan, malaysia, south korea, thailand, & vietnam dublin, jan. 27, 2023 /prnewswire/ -- the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainabili… dublin, jan. 27, 2023 /prnewswire/ -- the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainabili…",2
261,27/01/2023,"asia-pacific b2c e-commerce market analysis report 2023: consumers and retailers increase their emphasis on sustainability of online deliveries - researchandmarkets.com dublin--(business wire)--the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainability in deliver… dublin--(business wire)--the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainability in deliver…","dublin--(business wire)--the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainability in deliver…",FPT,"asia-pacific b2c e-commerce market analysis report 2023: consumers and retailers increase their emphasis on sustainability of online deliveries - researchandmarkets.com dublin--(business wire)--the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainability in deliver… dublin--(business wire)--the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering. with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainability in deliver…",2
262,27/01/2023,"asia-pacific b2c e-commerce market analysis report 2023: the delivery process still leaves room for improvements dublin, jan. 27, 2023 (globe newswire) -- the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering.with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainab… dublin, jan. 27, 2023 (globe newswire) -- the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering.with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainab…","dublin, jan. 27, 2023 (globe newswire) -- the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering.with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainab…",FPT,"asia-pacific b2c e-commerce market analysis report 2023: the delivery process still leaves room for improvements dublin, jan. 27, 2023 (globe newswire) -- the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering.with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainab… dublin, jan. 27, 2023 (globe newswire) -- the ""asia-pacific b2c e-commerce market 2023"" report has been added to researchandmarkets.com's offering.with the increasing use of online shopping and deliveries, shoppers are seen giving more importance to sustainab…",2
263,08/02/2023,"southeast asia data center construction market outlook & forecast report 2023: a $3+ billion industry by 2028 - the region is witnessing edge data center investments across several cities southeast asian data center construction market southeast asian data center construction market dublin, feb. 08, 2023 (globe newswire) -- the ""southeast asia... southeast asian data center construction market southeast asian data center construction market dublin, feb. 08, 2023 (globe newswire) -- the ""southeast asia...","southeast asian data center construction market southeast asian data center construction market dublin, feb. 08, 2023 (globe newswire) -- the ""southeast asia...",FPT,"southeast asia data center construction market outlook & forecast report 2023: a $3+ billion industry by 2028 - the region is witnessing edge data center investments across several cities southeast asian data center construction market southeast asian data center construction market dublin, feb. 08, 2023 (globe newswire) -- the ""southeast asia... southeast asian data center construction market southeast asian data center construction market dublin, feb. 08, 2023 (globe newswire) -- the ""southeast asia...",2
264,08/02/2023,"southeast asia data center construction market outlook & forecast report 2023: a $3+ billion industry by 2028 - the region is witnessing edge data center investments across several cities dublin, feb. 08, 2023 (globe newswire) -- the ""southeast asia data center construction market - industry outlook & forecast 2023-2028"" report has been added to researchandmarkets.com's offering. dublin, feb. 08, 2023 (globe newswire) -- the ""southeast asia data center construction market - industry outlook & forecast 2023-2028"" report has been added to researchandmarkets.com's offering.","dublin, feb. 08, 2023 (globe newswire) -- the ""southeast asia data center construction market - industry outlook & forecast 2023-2028"" report has been added to researchandmarkets.com's offering.",FPT,"southeast asia data center construction market outlook & forecast report 2023: a $3+ billion industry by 2028 - the region is witnessing edge data center investments across several cities dublin, feb. 08, 2023 (globe newswire) -- the ""southeast asia data center construction market - industry outlook & forecast 2023-2028"" report has been added to researchandmarkets.com's offering. dublin, feb. 08, 2023 (globe newswire) -- the ""southeast asia data center construction market - industry outlook & forecast 2023-2028"" report has been added to researchandmarkets.com's offering.",2
265,08/02/2023,pm chinh’s singapore visit expected to advance bilateral trade ties prime minister pham minh chinh’s singapore visit from february 8-10 aims to affirm the determination to elevate the bilateral economic ties to a new height in the context of many free trade agreement (ftas) coming into force. prime minister pham minh chinh’s singapore visit from february 8-10 aims to affirm the determination to elevate the bilateral economic ties to a new height in the context of many free trade agreement (ftas) coming into force.,prime minister pham minh chinh’s singapore visit from february 8-10 aims to affirm the determination to elevate the bilateral economic ties to a new height in the context of many free trade agreement (ftas) coming into force.,FPT,pm chinh’s singapore visit expected to advance bilateral trade ties prime minister pham minh chinh’s singapore visit from february 8-10 aims to affirm the determination to elevate the bilateral economic ties to a new height in the context of many free trade agreement (ftas) coming into force. prime minister pham minh chinh’s singapore visit from february 8-10 aims to affirm the determination to elevate the bilateral economic ties to a new height in the context of many free trade agreement (ftas) coming into force.,2
266,08/02/2023,repairs for undersea internet cables to last from march to april domestic internet service providers sai don february 7 that the network operation center (noc) services announced the repairs scheduled for three broken undersea cables that have resulted in slowed connections in vietnam in the last few weeks. domestic internet service providers sai don february 7 that the network operation center (noc) services announced the repairs scheduled for three broken undersea cables that have resulted in slowed connections in vietnam in the last few weeks.,domestic internet service providers sai don february 7 that the network operation center (noc) services announced the repairs scheduled for three broken undersea cables that have resulted in slowed connections in vietnam in the last few weeks.,FPT,repairs for undersea internet cables to last from march to april domestic internet service providers sai don february 7 that the network operation center (noc) services announced the repairs scheduled for three broken undersea cables that have resulted in slowed connections in vietnam in the last few weeks. domestic internet service providers sai don february 7 that the network operation center (noc) services announced the repairs scheduled for three broken undersea cables that have resulted in slowed connections in vietnam in the last few weeks.,2
267,11/01/2023,"dấu ấn của kinh tế tư nhân trong lĩnh vực hạ tầng nhiều doanh nghiệp tư nhân để lại dấu ấn ở những lĩnh vực mà vốn trước đây chỉ nhà nước đầu tư như xây dựng sân bay, cao tốc, cảng tàu khách quốc tế… nhiều doanh nghiệp tư nhân để lại dấu ấn ở những lĩnh vực mà vốn trước đây chỉ nhà nước đầu tư như xây dựng sân bay, cao tốc, cảng tàu khách quốc tế…","nhiều doanh nghiệp tư nhân để lại dấu ấn ở những lĩnh vực mà vốn trước đây chỉ nhà nước đầu tư như xây dựng sân bay, cao tốc, cảng tàu khách quốc tế…",FPT,"dấu ấn của kinh tế tư nhân trong lĩnh vực hạ tầng nhiều doanh nghiệp tư nhân để lại dấu ấn ở những lĩnh vực mà vốn trước đây chỉ nhà nước đầu tư như xây dựng sân bay, cao tốc, cảng tàu khách quốc tế… nhiều doanh nghiệp tư nhân để lại dấu ấn ở những lĩnh vực mà vốn trước đây chỉ nhà nước đầu tư như xây dựng sân bay, cao tốc, cảng tàu khách quốc tế…",2
268,24/01/2023,"according to arizton, massive investments by colocation & cloud service providers will grow southeast asia data center construction industry to usd 3 billion in 2028 according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing... according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing...","according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing...",FPT,"according to arizton, massive investments by colocation & cloud service providers will grow southeast asia data center construction industry to usd 3 billion in 2028 according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing... according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing...",3
269,24/01/2023,"according to arizton, massive investments by colocation & cloud service providers will grow southeast asia data center construction industry to usd 3 billion in 2028 chicago, jan. 24, 2023 /prnewswire/ -- according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing sustainability initiatives, rise in 5g & edge data center deployment, r… chicago, jan. 24, 2023 /prnewswire/ -- according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing sustainability initiatives, rise in 5g & edge data center deployment, r…","chicago, jan. 24, 2023 /prnewswire/ -- according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing sustainability initiatives, rise in 5g & edge data center deployment, r…",FPT,"according to arizton, massive investments by colocation & cloud service providers will grow southeast asia data center construction industry to usd 3 billion in 2028 chicago, jan. 24, 2023 /prnewswire/ -- according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing sustainability initiatives, rise in 5g & edge data center deployment, r… chicago, jan. 24, 2023 /prnewswire/ -- according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing sustainability initiatives, rise in 5g & edge data center deployment, r…",3
270,24/01/2023,"according to arizton, massive investments by colocation & cloud service providers will grow southeast asia data center construction industry to usd 3 billion in 2028 chicago, jan. 24, 2023 /prnewswire/ -- according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing sustainability initiatives, rise in 5g & edge data center deployment, r… chicago, jan. 24, 2023 /prnewswire/ -- according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing sustainability initiatives, rise in 5g & edge data center deployment, r…","chicago, jan. 24, 2023 /prnewswire/ -- according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing sustainability initiatives, rise in 5g & edge data center deployment, r…",FPT,"according to arizton, massive investments by colocation & cloud service providers will grow southeast asia data center construction industry to usd 3 billion in 2028 chicago, jan. 24, 2023 /prnewswire/ -- according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing sustainability initiatives, rise in 5g & edge data center deployment, r… chicago, jan. 24, 2023 /prnewswire/ -- according to arizton's latest research report, the southeast asia data center construction market will grow at a cagr of 1.5% from 202-2028. growing sustainability initiatives, rise in 5g & edge data center deployment, r…",3
271,18/01/2023,afc on the road - vietnam vietnam is the key beneficiary in asia of shifting supply chains. tourism should make a strong comeback in 2023 as china re-opens. vietnam is the key beneficiary in asia of shifting supply chains. tourism should make a strong comeback in 2023 as china re-opens.,vietnam is the key beneficiary in asia of shifting supply chains. tourism should make a strong comeback in 2023 as china re-opens.,FPT,afc on the road - vietnam vietnam is the key beneficiary in asia of shifting supply chains. tourism should make a strong comeback in 2023 as china re-opens. vietnam is the key beneficiary in asia of shifting supply chains. tourism should make a strong comeback in 2023 as china re-opens.,2
